,id,filename,width,height,depth,name,xmin,xmax,ymin,ymax
4613,4613,n02091467_7407,500,409,3,norwegian_elkhound,21,284,102,392
4974,4974,n02091831_8633,485,500,3,saluki,263,438,115,497
14720,14720,n02105855_13586,400,500,3,shetland_sheepdog,0,397,3,497
6026,6026,n02093859_3382,300,300,3,kerry_blue_terrier,19,299,9,290
10827,10827,n02100236_1838,600,301,3,german_short-haired_pointer,271,441,81,271
11026,11026,n02089867_2472,500,377,3,walker_hound,0,414,57,375
19862,19862,n02112018_3599,500,375,3,pomeranian,8,499,10,371
10796,10796,n02099849_2944,500,375,3,chesapeake_bay_retriever,151,499,50,335
1160,1160,n02086646_4041,265,306,3,blenheim_spaniel,7,253,126,305
17215,17215,n02108915_3988,500,333,3,french_bulldog,57,499,1,332
20936,20936,n02113624_2308,500,488,3,toy_poodle,51,457,41,453
13004,13004,n02102177_2910,333,500,3,welsh_springer_spaniel,20,331,23,492
15964,15964,n02107312_5816,500,375,3,miniature_pinscher,84,444,4,372
17138,17138,n02108915_11498,500,375,3,french_bulldog,0,295,0,374
9700,9700,n02098286_5080,500,333,3,west_highland_white_terrier,98,486,24,292
14547,14547,n02105641_12614,500,375,3,old_english_sheepdog,104,412,30,374
21595,21595,n02115641_1513,245,350,3,dingo,67,184,30,309
8651,8651,n02097130_63,500,375,3,giant_schnauzer,94,352,27,374
17040,17040,n02108551_340,500,387,3,tibetan_mastiff,135,499,8,386
10465,10465,n02099712_3854,500,375,3,labrador_retriever,165,458,33,360
9882,9882,n02098413_8214,500,333,3,lhasa,145,457,52,332
15032,15032,n02106166_1284,500,335,3,border_collie,61,387,19,334
19839,19839,n02112018_2811,473,500,3,pomeranian,242,471,153,456
8100,8100,n02096437_1207,500,402,3,dandie_dinmont,3,378,40,394
12439,12439,n02101388_1803,386,500,3,brittany_spaniel,47,359,23,498
6043,6043,n02093859_608,357,189,3,kerry_blue_terrier,0,182,19,186
10397,10397,n02099601_7123,500,375,3,golden_retriever,1,477,69,361
20908,20908,n02113624_1302,500,375,3,toy_poodle,88,499,34,374
10677,10677,n02099849_2250,500,375,3,chesapeake_bay_retriever,206,372,54,342
2238,2238,n02088238_2674,500,384,3,basset,0,459,28,383
21003,21003,n02113023_5881,334,500,3,pembroke,1,203,97,442
19153,19153,n02111277_2524,500,375,3,newfoundland,12,335,24,374
10913,10913,n02100236_485,500,375,3,german_short-haired_pointer,67,421,87,370
15943,15943,n02107312_3994,375,500,3,miniature_pinscher,55,316,127,498
3647,3647,n02090721_5049,333,500,3,irish_wolfhound,135,262,170,431
17792,17792,n02109961_930,500,333,3,eskimo_dog,139,323,116,220
16609,16609,n02108000_1512,350,492,3,entlebucher,45,278,28,471
11634,11634,n02105412_1925,500,333,3,kelpie,123,499,39,332
7868,7868,n02096177_9365,500,333,3,cairn,149,435,57,203
1347,1347,n02086910_5396,500,333,3,papillon,39,499,34,332
16381,16381,n02107683_6293,500,333,3,bernese_mountain_dog,40,340,31,332
13901,13901,n02105056_1960,249,364,3,groenendael,29,218,21,333
16532,16532,n02107908_6366,500,339,3,appenzeller,210,426,32,318
14986,14986,n02106030_3289,354,500,3,collie,5,320,32,498
9228,9228,n02097474_5700,500,325,3,tibetan_terrier,22,426,27,286
5378,5378,n02092339_6509,500,375,3,weimaraner,282,430,70,373
12854,12854,n02102040_403,500,333,3,english_springer,27,360,45,306
3888,3888,n02091032_5975,500,447,3,italian_greyhound,21,478,12,428
10595,10595,n02099712_311,483,500,3,labrador_retriever,2,472,10,472
7351,7351,n02095889_4078,225,154,3,sealyham_terrier,15,212,19,142
21797,21797,n02115913_2579,600,400,3,dhole,58,464,71,375
16896,16896,n02108089_3258,320,240,3,boxer,27,263,46,239
204,204,n02085782_1836,800,600,3,japanese_spaniel,192,625,40,597
14714,14714,n02105855_13256,375,500,3,shetland_sheepdog,71,228,158,410
4955,4955,n02091831_749,500,375,3,saluki,104,499,4,279
9367,9367,n02097658_8053,200,186,3,silky_terrier,30,180,1,176
10809,10809,n02100236_1164,500,375,3,german_short-haired_pointer,182,499,66,374
11661,11661,n02105412_2700,375,500,3,kelpie,0,200,325,465
12750,12750,n02102040_1244,376,500,3,english_springer,201,374,0,131
9658,9658,n02098286_3424,500,420,3,west_highland_white_terrier,372,475,216,365
4138,4138,n02091134_232,500,351,3,whippet,0,451,16,350
4576,4576,n02091467_3408,500,375,3,norwegian_elkhound,34,351,41,273
2515,2515,n02088466_6160,200,219,3,bloodhound,14,179,2,218
14514,14514,n02105505_572,374,384,3,komondor,24,338,0,382
9094,9094,n02097474_4907,500,333,3,tibetan_terrier,266,401,56,289
6312,6312,n02093991_946,500,375,3,irish_terrier,48,387,149,374
19450,19450,n02111500_7420,350,263,3,great_pyrenees,83,254,50,175
17511,17511,n02109525_1902,500,298,3,saint_bernard,0,499,0,257
6517,6517,n02094258_1192,429,300,3,norwich_terrier,0,51,63,155
4437,4437,n02091467_1406,400,298,3,norwegian_elkhound,6,388,18,292
987,987,n02086240_9551,334,500,3,shih-tzu,0,332,48,438
19272,19272,n02111277_5145,500,333,3,newfoundland,85,498,42,331
2909,2909,n02089078_2829,500,375,3,black-and-tan_coonhound,146,442,7,373
7487,7487,n02095889_2187,170,231,3,sealyham_terrier,17,169,5,230
18653,18653,n02110958_11632,375,500,3,pug,295,373,286,451
18187,18187,n02110185_815,500,375,3,siberian_husky,2,230,66,373
2519,2519,n02088466_654,500,375,3,bloodhound,109,346,92,374
14556,14556,n02105641_1500,500,333,3,old_english_sheepdog,115,370,69,320
1886,1886,n02088094_3858,480,360,3,afghan_hound,62,347,46,304
18110,18110,n02110185_6564,500,333,3,siberian_husky,6,170,102,329
7339,7339,n02095889_396,369,492,3,sealyham_terrier,66,286,56,474
16995,16995,n02108551_1705,250,306,3,tibetan_mastiff,0,217,19,291
13371,13371,n02102480_7417,934,783,3,sussex_spaniel,1,791,29,779
11309,11309,n02097047_1482,500,333,3,miniature_schnauzer,159,313,35,332
18535,18535,n02110806_4550,500,375,3,basenji,51,477,30,351
9718,9718,n02098286_5681,500,375,3,west_highland_white_terrier,148,460,64,331
6598,6598,n02094258_3438,500,333,3,norwich_terrier,26,282,2,331
7118,7118,n02095570_4854,500,334,3,lakeland_terrier,157,286,50,277
6949,6949,n02095314_2424,300,293,3,wire-haired_fox_terrier,0,276,93,292
22065,22065,n02116738_6754,1280,960,3,african_hunting_dog,902,1277,283,919
20841,20841,n02113186_5841,571,371,3,cardigan,268,409,74,315
7100,7100,n02095570_3798,500,331,3,lakeland_terrier,89,250,98,272
15576,15576,n02106662_24758,373,500,3,german_shepherd,121,371,71,498
2694,2694,n02088632_2298,500,375,3,bluetick,91,464,95,333
17204,17204,n02108915_3527,382,500,3,french_bulldog,61,226,197,497
1667,1667,n02087394_5859,332,500,3,rhodesian_ridgeback,26,200,93,438
3595,3595,n02090721_3900,500,375,3,irish_wolfhound,158,387,113,295
5996,5996,n02093859_2625,400,300,3,kerry_blue_terrier,134,367,16,277
20977,20977,n02113624_3714,333,500,3,toy_poodle,47,296,18,370
12541,12541,n02101388_5867,500,375,3,brittany_spaniel,81,469,66,295
21753,21753,n02115913_1449,500,388,3,dhole,109,342,71,312
4398,4398,n02091244_2601,500,400,3,ibizan_hound,13,397,91,339
17034,17034,n02108551_2921,250,333,3,tibetan_mastiff,1,249,26,322
9487,9487,n02098105_2456,500,333,3,soft-coated_wheaten_terrier,265,406,55,296
16647,16647,n02108000_2064,500,491,3,entlebucher,185,429,15,467
9587,9587,n02098286_1036,500,375,3,west_highland_white_terrier,120,373,95,331
16078,16078,n02107574_2352,500,375,3,greater_swiss_mountain_dog,265,355,151,311
5980,5980,n02093859_2293,500,333,3,kerry_blue_terrier,179,310,14,310
12013,12013,n02100735_5988,300,261,3,english_setter,1,294,0,259
10087,10087,n02099267_5669,500,293,3,flat-coated_retriever,29,217,58,251
13727,13727,n02104365_1151,500,333,3,schipperke,302,496,149,292
1997,1997,n02088094_6372,500,305,3,afghan_hound,88,238,135,298
1456,1456,n02087046_2193,233,214,3,toy_terrier,14,218,31,156
17424,17424,n02109047_7072,269,225,3,great_dane,34,259,6,224
10413,10413,n02099601_7771,500,281,3,golden_retriever,90,423,0,280
261,261,n02085782_4294,368,317,3,japanese_spaniel,51,344,26,304
14864,14864,n02106030_10377,259,350,3,collie,0,258,4,349
16709,16709,n02108000_3491,600,450,3,entlebucher,307,515,94,448
489,489,n02085936_6034,500,375,3,maltese_dog,105,277,129,333
10587,10587,n02099601_6820,333,500,3,golden_retriever,1,252,152,498
19979,19979,n02112018_8161,414,500,3,pomeranian,33,377,15,496
17100,17100,n02108551_810,500,333,3,tibetan_mastiff,46,391,87,253
19075,19075,n02111129_5163,500,333,3,leonberg,115,283,123,272
6913,6913,n02095314_1820,246,250,3,wire-haired_fox_terrier,23,184,27,214
18482,18482,n02110806_4463,500,333,3,basenji,67,401,26,308
480,480,n02085936_5488,216,192,3,maltese_dog,17,194,53,138
16593,16593,n02108000_1274,464,500,3,entlebucher,101,400,25,498
6220,6220,n02093991_3330,500,375,3,irish_terrier,226,328,31,354
4537,4537,n02091467_6920,500,375,3,norwegian_elkhound,50,486,42,360
4450,4450,n02091467_1787,294,294,3,norwegian_elkhound,49,258,4,286
5826,5826,n02093754_51,385,500,3,border_terrier,45,313,78,498
7141,7141,n02095570_510,500,375,3,lakeland_terrier,134,463,85,338
3820,3820,n02091032_1894,500,333,3,italian_greyhound,37,402,37,332
15285,15285,n02106382_4034,205,415,3,bouvier_des_flandres,8,173,27,399
13380,13380,n02102480_7690,550,384,3,sussex_spaniel,293,534,8,219
11878,11878,n02108422_3795,283,378,3,bull_mastiff,46,257,44,310
12,12,n02085620_1152,500,375,3,chihuahua,391,437,111,167
5495,5495,n02093256_2987,368,500,3,staffordshire_bullterrier,50,345,22,498
13421,13421,n02102973_220,600,800,3,irish_water_spaniel,20,376,258,798
6271,6271,n02093991_4501,350,500,3,irish_terrier,18,305,56,448
20924,20924,n02113624_189,400,300,3,toy_poodle,83,207,40,231
11732,11732,n02105412_6741,500,465,3,kelpie,61,461,0,463
21010,21010,n02113186_2413,500,375,3,cardigan,121,334,109,331
20294,20294,n02112350_7789,500,376,3,keeshond,139,499,90,375
15215,15215,n02106382_1648,272,207,3,bouvier_des_flandres,73,247,27,172
20837,20837,n02113186_5340,500,375,3,cardigan,0,319,41,374
13794,13794,n02104365_6498,500,333,3,schipperke,231,492,86,281
13860,13860,n02104365_8701,375,500,3,schipperke,0,353,60,413
14457,14457,n02105505_3787,251,172,3,komondor,7,239,13,147
10276,10276,n02099429_915,350,333,3,curly-coated_retriever,81,319,44,259
20380,20380,n02112350_9791,500,375,3,keeshond,63,499,51,363
20302,20302,n02112350_8045,281,250,3,keeshond,5,274,21,237
8126,8126,n02096437_1656,250,193,3,dandie_dinmont,28,135,10,169
1276,1276,n02086910_6293,250,222,3,papillon,23,232,4,217
9045,9045,n02097474_1990,500,402,3,tibetan_terrier,1,497,1,400
16543,16543,n02107908_7205,500,333,3,appenzeller,69,499,0,332
19090,19090,n02111129_646,500,333,3,leonberg,399,499,114,272
12337,12337,n02101006_3026,500,375,3,gordon_setter,68,440,75,334
6398,6398,n02094114_4518,500,333,3,norfolk_terrier,27,499,61,307
17720,17720,n02109961_391,500,335,3,eskimo_dog,77,311,0,334
1035,1035,n02086240_2003,336,500,3,shih-tzu,37,320,71,427
21213,21213,n02113712_9546,500,375,3,miniature_poodle,0,461,0,373
19795,19795,n02112018_1146,500,375,3,pomeranian,47,421,57,264
1499,1499,n02087046_4058,334,500,3,toy_terrier,105,280,120,447
15268,15268,n02106382_312,302,259,3,bouvier_des_flandres,164,301,31,227
18850,18850,n02110958_9008,500,332,3,pug,0,231,139,331
5619,5619,n02093428_1351,500,333,3,american_staffordshire_terrier,58,474,40,313
1509,1509,n02087046_4315,292,432,3,toy_terrier,29,262,28,411
9631,9631,n02098286_2481,500,365,3,west_highland_white_terrier,40,156,37,206
11588,11588,n02100583_6994,500,333,3,vizsla,0,432,21,332
542,542,n02085936_2693,375,500,3,maltese_dog,0,331,127,498
20474,20474,n02112706_223,300,253,3,brabancon_griffon,1,295,5,252
2357,2357,n02088364_3752,500,375,3,beagle,260,470,106,374
6730,6730,n02094433_2041,500,389,3,yorkshire_terrier,59,499,20,345
18606,18606,n02110806_5312,500,375,3,basenji,85,330,130,345
13742,13742,n02104365_2424,469,500,3,schipperke,10,453,52,492
20417,20417,n02112706_1409,200,150,3,brabancon_griffon,53,168,28,144
20906,20906,n02113624_1220,375,500,3,toy_poodle,103,291,43,445
20775,20775,n02113186_12316,500,375,3,cardigan,187,345,84,330
21590,21590,n02115641_1380,500,393,3,dingo,116,499,14,392
13085,13085,n02102318_10087,500,375,3,cocker_spaniel,54,406,43,373
7385,7385,n02095889_5609,260,195,3,sealyham_terrier,44,227,0,194
202,202,n02085782_1778,640,480,3,japanese_spaniel,30,392,103,379
864,864,n02086240_4865,410,308,3,shih-tzu,103,388,50,267
8164,8164,n02096294_261,200,168,3,australian_terrier,25,155,12,166
21262,21262,n02113799_2139,500,375,3,standard_poodle,25,214,93,351
145,145,n02085620_735,223,287,3,chihuahua,92,185,71,286
17914,17914,n02110063_16696,500,374,3,malamute,90,499,23,371
15450,15450,n02106550_5222,716,1013,3,rottweiler,81,502,109,954
5761,5761,n02093428_9346,375,500,3,american_staffordshire_terrier,75,333,95,498
17846,17846,n02110063_14381,333,500,3,malamute,0,285,68,498
4086,4086,n02091134_16794,500,333,3,whippet,124,398,121,269
16814,16814,n02108089_1072,375,500,3,boxer,81,358,145,451
17011,17011,n02108551_2111,1024,768,3,tibetan_mastiff,15,941,21,744
18655,18655,n02110958_11725,500,333,3,pug,0,231,99,332
15531,15531,n02106662_15858,400,314,3,german_shepherd,3,399,3,311
16540,16540,n02107908_691,500,333,3,appenzeller,25,386,42,321
20083,20083,n02112137_6190,450,342,3,chow,86,357,74,329
2386,2386,n02088364_13981,500,281,3,beagle,208,499,2,277
8483,8483,n02097130_1119,500,375,3,giant_schnauzer,0,492,9,368
20436,20436,n02112706_1684,500,333,3,brabancon_griffon,2,348,35,332
3515,3515,n02090721_1131,500,375,3,irish_wolfhound,1,492,97,273
18244,18244,n02110627_11759,362,448,3,affenpinscher,22,336,13,421
419,419,n02085936_338,500,375,3,maltese_dog,163,335,133,304
16341,16341,n02107683_2734,500,375,3,bernese_mountain_dog,147,492,90,292
10602,10602,n02099712_3301,500,375,3,labrador_retriever,69,499,66,285
19525,19525,n02111500_2185,500,361,3,great_pyrenees,1,494,51,298
10834,10834,n02100236_2119,1280,960,3,german_short-haired_pointer,458,874,74,957
11174,11174,n02093647_254,500,375,3,bedlington_terrier,139,335,90,318
8636,8636,n02097130_589,500,396,3,giant_schnauzer,98,445,121,341
19580,19580,n02111889_14746,500,375,3,samoyed,140,375,68,284
12741,12741,n02102040_1082,500,375,3,english_springer,114,269,115,365
15886,15886,n02107312_5113,375,500,3,miniature_pinscher,1,327,0,498
20093,20093,n02112137_6857,500,333,3,chow,0,498,0,296
9905,9905,n02098413_16861,320,480,3,lhasa,67,282,137,427
47,47,n02085620_2479,330,251,3,chihuahua,40,260,16,239
15799,15799,n02107142_8834,500,371,3,doberman,111,348,137,370
22089,22089,n02116738_8037,500,333,3,african_hunting_dog,100,450,6,332
4929,4929,n02091831_2779,420,315,3,saluki,47,384,5,294
16143,16143,n02107574_492,500,375,3,greater_swiss_mountain_dog,0,380,2,374
15756,15756,n02107142_473,375,500,3,doberman,16,110,236,453
16316,16316,n02107683_6825,500,392,3,bernese_mountain_dog,0,453,0,391
8617,8617,n02097130_5175,333,500,3,giant_schnauzer,0,331,11,498
9142,9142,n02097474_5280,457,500,3,tibetan_terrier,80,448,92,477
905,905,n02086240_6647,500,332,3,shih-tzu,155,499,74,331
19436,19436,n02111500_7006,297,500,3,great_pyrenees,6,294,0,495
7764,7764,n02096177_3650,500,375,3,cairn,33,349,33,374
20315,20315,n02112350_8279,343,500,3,keeshond,28,286,179,498
17646,17646,n02109961_12993,357,500,3,eskimo_dog,1,351,0,495
20296,20296,n02112350_7826,500,332,3,keeshond,136,300,78,257
11210,11210,n02093647_3209,320,240,3,bedlington_terrier,52,285,20,221
8721,8721,n02097209_213,375,500,3,standard_schnauzer,5,336,0,422
7603,7603,n02096051_8892,500,375,3,airedale,33,492,56,325
1609,1609,n02087394_1099,500,375,3,rhodesian_ridgeback,125,405,111,298
1867,1867,n02088094_2732,500,324,3,afghan_hound,16,193,153,302
11741,11741,n02100583_4670,500,332,3,vizsla,0,411,0,331
18811,18811,n02110958_3938,500,375,3,pug,55,498,25,373
837,837,n02086240_3814,375,500,3,shih-tzu,153,262,121,250
17286,17286,n02109047_10414,540,586,3,great_dane,2,490,4,562
4004,4004,n02091134_10521,240,180,3,whippet,8,203,3,178
20928,20928,n02113624_2223,500,399,3,toy_poodle,171,363,180,385
4309,4309,n02091244_4015,500,375,3,ibizan_hound,0,429,4,324
578,578,n02085936_8417,333,500,3,maltese_dog,0,331,45,498
18940,18940,n02111129_1497,333,500,3,leonberg,60,82,170,222
21314,21314,n02113799_448,500,375,3,standard_poodle,148,428,25,354
2745,2745,n02088632_610,500,333,3,bluetick,120,314,39,332
4258,4258,n02091244_177,500,375,3,ibizan_hound,171,279,0,308
2658,2658,n02088466_9695,500,375,3,bloodhound,0,409,35,373
27,27,n02085620_14252,448,336,3,chihuahua,166,346,110,248
17977,17977,n02110063_12656,500,320,3,malamute,111,242,158,235
10336,10336,n02099601_3494,500,375,3,golden_retriever,0,456,26,354
19167,19167,n02111277_3056,500,375,3,newfoundland,1,358,102,372
10945,10945,n02100236_5597,375,500,3,german_short-haired_pointer,86,302,143,447
15993,15993,n02107574_1026,200,280,3,greater_swiss_mountain_dog,0,173,75,279
16991,16991,n02108551_1553,317,500,3,tibetan_mastiff,7,310,7,480
499,499,n02085936_66,500,439,3,maltese_dog,8,492,52,391
17743,17743,n02109961_52,500,375,3,eskimo_dog,0,479,19,374
20694,20694,n02113023_7038,375,500,3,pembroke,63,373,72,432
13533,13533,n02102973_4913,466,300,3,irish_water_spaniel,9,209,9,299
1507,1507,n02087046_4235,500,375,3,toy_terrier,221,450,23,374
9126,9126,n02097474_7244,500,375,3,tibetan_terrier,0,499,0,374
1869,1869,n02088094_2798,343,500,3,afghan_hound,23,341,101,498
5578,5578,n02093256_7830,500,375,3,staffordshire_bullterrier,167,314,107,347
9990,9990,n02099267_2259,500,375,3,flat-coated_retriever,44,499,62,352
168,168,n02085782_1059,550,413,3,japanese_spaniel,142,361,8,410
13318,13318,n02102480_5158,610,364,3,sussex_spaniel,515,608,0,208
4089,4089,n02091134_17054,500,351,3,whippet,34,345,42,274
8016,8016,n02096294_7567,500,403,3,australian_terrier,89,419,30,376
7537,7537,n02096051_4676,500,333,3,airedale,127,480,31,323
3862,3862,n02091032_4458,321,500,3,italian_greyhound,36,290,38,468
4587,4587,n02091467_3727,500,333,3,norwegian_elkhound,36,376,55,303
13521,13521,n02102973_4513,300,225,3,irish_water_spaniel,6,285,36,216
12461,12461,n02101556_1991,500,375,3,clumber,4,467,105,374
6757,6757,n02094433_2643,500,333,3,yorkshire_terrier,191,307,77,280
18854,18854,n02111129_1,283,204,3,leonberg,15,264,17,194
10345,10345,n02099601_4241,175,200,3,golden_retriever,66,174,10,153
2760,2760,n02088632_28,360,230,3,bluetick,19,358,22,228
546,546,n02085936_2832,500,375,3,maltese_dog,85,398,105,289
7774,7774,n02096177_4420,500,422,3,cairn,207,498,170,420
17660,17660,n02109961_16491,500,375,3,eskimo_dog,53,486,17,374
11678,11678,n02105412_369,500,375,3,kelpie,181,345,8,322
19846,19846,n02112018_3064,500,375,3,pomeranian,94,393,70,334
15046,15046,n02106166_1684,375,500,3,border_collie,201,373,66,490
20576,20576,n02113023_2842,500,333,3,pembroke,105,269,39,253
10360,10360,n02099601_5240,500,456,3,golden_retriever,60,477,167,442
2544,2544,n02088466_7191,375,500,3,bloodhound,2,292,205,387
4789,4789,n02091635_938,421,378,3,otterhound,20,371,15,358
5901,5901,n02093754_218,500,375,3,border_terrier,29,472,0,374
21018,21018,n02113624_274,500,333,3,toy_poodle,160,322,93,267
3546,3546,n02090622_7069,381,500,3,borzoi,15,349,5,473
14285,14285,n02105251_7349,500,333,3,briard,0,499,40,332
9726,9726,n02098286_5930,500,375,3,west_highland_white_terrier,0,491,3,333
21551,21551,n02113978_961,360,301,3,mexican_hairless,30,316,14,260
20464,20464,n02112706_2133,500,375,3,brabancon_griffon,178,446,140,311
20997,20997,n02113624_5442,500,375,3,toy_poodle,79,329,0,307
10036,10036,n02099267_375,350,282,3,flat-coated_retriever,148,272,47,238
2612,2612,n02088466_8982,340,466,3,bloodhound,89,209,257,442
385,385,n02085936_1390,500,333,3,maltese_dog,19,424,0,332
859,859,n02086240_4629,500,375,3,shih-tzu,32,428,43,374
3931,3931,n02091032_11998,500,281,3,italian_greyhound,272,398,66,280
1716,1716,n02087394_9361,310,337,3,rhodesian_ridgeback,32,254,47,336
11719,11719,n02105412_5983,309,300,3,kelpie,62,247,28,274
5661,5661,n02093428_2461,375,500,3,american_staffordshire_terrier,33,316,68,498
4975,4975,n02091831_878,500,375,3,saluki,184,367,51,344
9384,9384,n02097658_1473,500,375,3,silky_terrier,130,296,123,276
20743,20743,n02113186_10475,500,334,3,cardigan,0,499,41,314
1849,1849,n02088094_227,500,348,3,afghan_hound,402,478,160,324
9424,9424,n02098105_1078,500,330,3,soft-coated_wheaten_terrier,182,488,103,308
21274,21274,n02113799_2466,500,397,3,standard_poodle,299,403,67,237
11938,11938,n02108422_767,500,500,3,bull_mastiff,7,481,15,497
844,844,n02086240_4127,425,480,3,shih-tzu,43,348,18,394
12170,12170,n02100877_370,300,249,3,irish_setter,15,289,10,247
11375,11375,n02097047_2871,375,500,3,miniature_schnauzer,60,346,3,477
5133,5133,n02092002_498,450,551,3,scottish_deerhound,44,400,205,495
4771,4771,n02091635_4698,242,180,3,otterhound,43,199,41,167
6427,6427,n02094114_2739,500,375,3,norfolk_terrier,291,445,174,280
17163,17163,n02108915_2118,500,375,3,french_bulldog,147,391,37,177
2653,2653,n02088466_9533,500,375,3,bloodhound,90,400,31,373
6244,6244,n02093991_3952,500,333,3,irish_terrier,160,486,33,332
5935,5935,n02093859_1120,160,170,3,kerry_blue_terrier,0,159,4,169
11347,11347,n02097047_232,500,333,3,miniature_schnauzer,1,250,4,332
12211,12211,n02100877_5916,500,333,3,irish_setter,47,499,77,332
5373,5373,n02092339_6401,500,333,3,weimaraner,76,326,109,284
1902,1902,n02088094_4497,500,303,3,afghan_hound,371,476,129,286
15995,15995,n02107574_1032,341,512,3,greater_swiss_mountain_dog,0,294,58,510
457,457,n02085936_4797,300,299,3,maltese_dog,60,232,27,235
14932,14932,n02106030_16254,399,500,3,collie,100,326,62,395
11082,11082,n02089867_55,500,293,3,walker_hound,26,330,16,247
8502,8502,n02097130_1585,500,375,3,giant_schnauzer,76,322,80,324
1771,1771,n02087394_36,334,500,3,rhodesian_ridgeback,127,255,131,438
8849,8849,n02097298_12063,333,500,3,scotch_terrier,78,331,50,496
7472,7472,n02096051_1110,500,375,3,airedale,99,415,34,374
14842,14842,n02105855_7612,500,375,3,shetland_sheepdog,141,463,0,374
5522,5522,n02093256_4090,500,375,3,staffordshire_bullterrier,87,499,95,374
10845,10845,n02100236_2569,500,375,3,german_short-haired_pointer,216,403,153,374
14344,14344,n02105412_1078,500,375,3,kelpie,41,195,75,190
21441,21441,n02113978_1970,324,253,3,mexican_hairless,4,313,4,246
9740,9740,n02098286_626,375,500,3,west_highland_white_terrier,126,250,171,373
8837,8837,n02097209_944,252,304,3,standard_schnauzer,13,215,20,282
13112,13112,n02102318_11481,500,333,3,cocker_spaniel,0,405,8,332
13918,13918,n02105056_3091,226,290,3,groenendael,26,210,11,269
4052,4052,n02091134_145,500,375,3,whippet,150,457,43,369
8424,8424,n02096585_6567,500,375,3,boston_bull,79,338,1,374
12720,12720,n02101556_7628,348,500,3,clumber,66,297,56,462
15162,15162,n02106166_180,500,376,3,border_collie,101,493,35,369
17563,17563,n02109525_7121,500,400,3,saint_bernard,28,499,0,377
13106,13106,n02102318_10930,500,481,3,cocker_spaniel,134,330,79,446
16685,16685,n02108000_3104,400,267,3,entlebucher,16,263,46,245
18105,18105,n02110185_6411,413,500,3,siberian_husky,71,240,103,418
17460,17460,n02109525_10215,360,480,3,saint_bernard,0,279,0,310
17705,17705,n02109961_2727,500,375,3,eskimo_dog,101,341,102,187
15083,15083,n02106166_361,500,333,3,border_collie,0,492,57,265
8003,8003,n02096294_7097,500,400,3,australian_terrier,6,499,37,397
7914,7914,n02096294_1553,200,209,3,australian_terrier,0,197,5,206
5316,5316,n02092339_363,500,394,3,weimaraner,0,479,29,393
7965,7965,n02096294_4435,400,500,3,australian_terrier,86,311,205,497
8906,8906,n02097298_2792,500,375,3,scotch_terrier,31,391,42,333
17706,17706,n02109961_2832,500,375,3,eskimo_dog,99,499,16,374
4950,4950,n02091831_7287,320,302,3,saluki,56,284,35,270
2014,2014,n02088094_732,500,389,3,afghan_hound,0,485,12,388
7891,7891,n02096177_2203,333,500,3,cairn,50,331,10,498
17694,17694,n02109961_2492,350,333,3,eskimo_dog,117,328,140,311
6059,6059,n02093859_806,500,352,3,kerry_blue_terrier,32,473,16,351
10190,10190,n02099429_2776,500,405,3,curly-coated_retriever,17,467,33,369
9933,9933,n02098413_1457,500,375,3,lhasa,0,314,143,360
18119,18119,n02110185_712,500,375,3,siberian_husky,183,457,35,374
12478,12478,n02101388_2667,434,500,3,brittany_spaniel,53,382,16,498
15834,15834,n02107312_2571,350,316,3,miniature_pinscher,19,303,43,313
17111,17111,n02108422_5609,250,229,3,bull_mastiff,7,234,8,219
19820,19820,n02112018_2218,370,500,3,pomeranian,42,368,2,498
8141,8141,n02096437_1952,385,500,3,dandie_dinmont,11,383,3,325
3558,3558,n02090721_175,375,500,3,irish_wolfhound,41,276,223,388
8388,8388,n02096585_318,500,375,3,boston_bull,63,375,0,371
18517,18517,n02109961_5066,375,500,3,eskimo_dog,85,330,0,490
11898,11898,n02108422_4520,500,373,3,bull_mastiff,112,438,0,372
15134,15134,n02106166_654,500,375,3,border_collie,0,131,43,351
21580,21580,n02115641_13237,500,357,3,dingo,17,433,19,332
4313,4313,n02091244_4986,567,456,3,ibizan_hound,206,420,2,440
1363,1363,n02086910_7868,250,188,3,papillon,0,217,14,187
7489,7489,n02095889_341,200,144,3,sealyham_terrier,5,199,6,131
155,155,n02085620_8578,500,353,3,chihuahua,62,336,35,323
2457,2457,n02088466_10083,500,333,3,bloodhound,168,471,0,332
8264,8264,n02096437_3241,500,399,3,dandie_dinmont,5,417,0,397
4218,4218,n02091134_917,500,354,3,whippet,217,452,219,321
999,999,n02086646_118,318,300,3,blenheim_spaniel,13,308,42,295
13113,13113,n02102318_11573,500,375,3,cocker_spaniel,48,499,1,357
8305,8305,n02096585_10823,375,500,3,boston_bull,78,357,1,498
12094,12094,n02101006_158,351,288,3,gordon_setter,14,311,9,273
13835,13835,n02104365_7859,333,500,3,schipperke,2,331,3,498
3098,3098,n02089973_2791,375,500,3,english_foxhound,0,58,181,262
13993,13993,n02105056_5855,353,500,3,groenendael,1,351,1,498
13656,13656,n02104029_4277,430,500,3,kuvasz,205,420,106,485
20141,20141,n02112137_8410,413,500,3,chow,38,369,6,495
5895,5895,n02093754_6257,500,453,3,border_terrier,0,484,4,451
5465,5465,n02093256_1602,360,480,3,staffordshire_bullterrier,57,298,85,421
10076,10076,n02099267_5155,500,401,3,flat-coated_retriever,0,447,0,398
14542,14542,n02105641_11847,376,500,3,old_english_sheepdog,30,280,47,458
